Fecha_Hora,pm2.5
23/01/2024 22:00,12.1216
23/01/2024 23:00,15.7211
24/01/2024 0:00,14.4865
24/01/2024 1:00,16.8531
24/01/2024 2:00,13.2177
24/01/2024 3:00,15.6082
24/01/2024 4:00,19.1872
24/01/2024 5:00,19.1635
24/01/2024 6:00,17.9212
24/01/2024 7:00,20.3039
24/01/2024 8:00,19.1517
24/01/2024 9:00,27.757
24/01/2024 10:00,27.9494
24/01/2024 11:00,33.0699
24/01/2024 12:00,27.2114
24/01/2024 13:00,21.1896
24/01/2024 14:00,7.51974
24/01/2024 15:00,12.561
24/01/2024 16:00,11.2951
24/01/2024 17:00,8.7706
24/01/2024 18:00,1.24552
24/01/2024 19:00,7.40088
24/01/2024 20:00,15.9029
24/01/2024 21:00,23.1252
24/01/2024 22:00,20.6257
24/01/2024 23:00,24.1745
25/01/2024 0:00,18.0874
25/01/2024 1:00,21.6532
25/01/2024 2:00,21.6265
25/01/2024 3:00,23.9886
25/01/2024 4:00,23.9503
25/01/2024 5:00,26.3078
25/01/2024 6:00,25.0747
25/01/2024 7:00,26.2646
25/01/2024 8:00,25.1357
25/01/2024 9:00,33.7902
25/01/2024 10:00,30.3699
25/01/2024 11:00,28.1135
25/01/2024 12:00,33.2404
25/01/2024 13:00,33.5049
25/01/2024 14:00,36.2043
25/01/2024 15:00,27.5591
25/01/2024 16:00,18.7892
25/01/2024 17:00,11.2134
25/01/2024 18:00,12.3778
25/01/2024 19:00,12.3058
25/01/2024 20:00,19.5754
25/01/2024 21:00,29.2379
25/01/2024 22:00,26.6967
25/01/2024 23:00,28.9907
26/01/2024 0:00,28.9101
26/01/2024 1:00,30.0865
26/01/2024 2:00,27.6254
26/01/2024 3:00,31.1661
26/01/2024 4:00,31.1562
26/01/2024 5:00,34.7196
26/01/2024 6:00,29.9007
26/01/2024 7:00,33.4861
26/01/2024 8:00,41.9836
26/01/2024 9:00,43.2813
26/01/2024 10:00,38.7015
26/01/2024 11:00,41.2871
26/01/2024 12:00,33.0734
26/01/2024 13:00,39.4473
26/01/2024 14:00,28.4276
26/01/2024 15:00,22.2816
26/01/2024 16:00,25.9989
26/01/2024 17:00,22.3102
26/01/2024 18:00,24.705
26/01/2024 19:00,31.9171
26/01/2024 20:00,26.8725
26/01/2024 21:00,34.0798
26/01/2024 22:00,36.4161
26/01/2024 23:00,33.9037
27/01/2024 0:00,31.4003
27/01/2024 1:00,32.5438
27/01/2024 2:00,32.5346
27/01/2024 3:00,39.7913
27/01/2024 4:00,39.7658
27/01/2024 5:00,43.3586
27/01/2024 6:00,39.6931
27/01/2024 7:00,37.2665
27/01/2024 8:00,43.3291
27/01/2024 9:00,39.6994
27/01/2024 10:00,43.5515
27/01/2024 11:00,41.3595
27/01/2024 12:00,33.1375
27/01/2024 13:00,30.8739
27/01/2024 14:00,32.2637
27/01/2024 15:00,33.5901
27/01/2024 16:00,19.8545
27/01/2024 17:00,14.6606
27/01/2024 18:00,9.72111
27/01/2024 19:00,16.9657
27/01/2024 20:00,21.7726
27/01/2024 21:00,28.978
27/01/2024 22:00,27.7109
27/01/2024 23:00,27.6903
28/01/2024 0:00,28.8436
28/01/2024 1:00,31.1839
28/01/2024 2:00,32.3727
28/01/2024 3:00,36.002
28/01/2024 4:00,37.1722
28/01/2024 5:00,32.3402
28/01/2024 6:00,33.4739
28/01/2024 7:00,38.2483
28/01/2024 8:00,41.8761
28/01/2024 9:00,48.0465
28/01/2024 10:00,37.3925
28/01/2024 11:00,38.8939
28/01/2024 12:00,39.1225
28/01/2024 13:00,32.0337
28/01/2024 14:00,34.8008
28/01/2024 15:00,29.8617
28/01/2024 16:00,21.176
28/01/2024 17:00,11.1515
28/01/2024 18:00,16.0266
28/01/2024 19:00,20.8326
28/01/2024 20:00,19.5274
28/01/2024 21:00,25.5381
28/01/2024 22:00,27.8505
28/01/2024 23:00,25.3525
29/01/2024 0:00,26.4925
29/01/2024 1:00,28.8684
29/01/2024 2:00,33.6862
29/01/2024 3:00,27.6146
29/01/2024 4:00,30.0282
29/01/2024 5:00,28.8281
29/01/2024 6:00,28.8268
29/01/2024 7:00,27.6174
29/01/2024 8:00,33.6673
29/01/2024 9:00,47.0203
29/01/2024 10:00,47.217
29/01/2024 11:00,36.4172
